LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa grandistipula	4266	Aporosa grandistipula	94883	1031966			358	Number of replicate plants	Plant replicates	7											Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa lucida	4268	Aporosa lucida	94884	1031972	926	Leaf area index (LAI) of a single plant	384	LAI of respective plant	LAI	0.861035656189497	unitless										Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.	Leaf area index:  leaf area/canopy area (m2 per m2)		
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa lucida	4268	Aporosa lucida	94884	1031974			386	Canopy openness (fraction of open sky)	C O	4.35714285714286	%										Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.	Canopy openness measured using hemisphere photos		
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa lucida	4268	Aporosa lucida	94884	1031993			393	Herbivory damage	Herbivory	4.88	%										Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.	Herbivory damage Proportion of leaf eaten		
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa lucida	4268	Aporosa lucida	94884	1031996			324	Treatment CO2	growth ambient CO2 concentration	360	ppm		20	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa lucida	4268	Aporosa lucida	94884	1031997			325	Treatment relative humidity (Relative humidity )	growth RH	70	%		5	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa lucida	4268	Aporosa lucida	94884	1031998			315	Treatment plant growth temperature during day	growth temperature	31	C		4	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa lucida	4268	Aporosa lucida	94884	1031999			340	Photosynthetically Active Radiation during measurement (PAR)	measurement light	1000	m,icromol/m2/s										Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa lucida	4268	Aporosa lucida	94884	1032000			323	Atmospheric CO2 concentration during measurement (Ca)	measurement CO2 conentration	360	ppm		20	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Aporusa lucida	4268	Aporosa lucida	94884	1032001			326	Relative air humidity during measurement (Relative humidity, RH )	measurement RH	70	%		5	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
