Species,LAI Value
"Family of Melastomataceae (all), Sapotaceae, Moraceae, Mimosaceae (lower), Lauraceae, Euphorbiaceae, Clethraceae (middle), Cunoniaceae, Podocarpaceae, Cyrillaceae, Rubiaceae and Aquifoliaceae (Upper)",2.8
"Family of Melastomataceae (all), Sapotaceae, Moraceae, Mimosaceae (lower), Lauraceae, Euphorbiaceae, Clethraceae (middle), Cunoniaceae, Podocarpaceae, Cyrillaceae, Rubiaceae and Aquifoliaceae (Upper)",2.2
"Dipterocarpaceae, Myrtaceae, Podocarpaceae family (the conposition varied with altitude)",4.8
"Dipterocarpaceae, Myrtaceae, Podocarpaceae family (the conposition varied with altitude)",3.8
"Dipterocarpaceae, Myrtaceae, Podocarpaceae family (the conposition varied with altitude)",3.5
"Dipterocarpaceae, Myrtaceae, Podocarpaceae family (the conposition varied with altitude)",2.4
"Dipterocarpaceae, Myrtaceae, Podocarpaceae family (the conposition varied with altitude)",5.6
"Dipterocarpaceae, Myrtaceae, Podocarpaceae family (the conposition varied with altitude)",3.6
"Dipterocarpaceae, Myrtaceae, Podocarpaceae family (the conposition varied with altitude)",3.8
"Dipterocarpaceae, Myrtaceae, Podocarpaceae family (the conposition varied with altitude)",1.6
"Family of Myrtaceae, Myristicaceae (all sites), Lauraceae, Sapotaceae, Meliaceae and Myristicaceae (lower sites)",1.75
"Family of Myrtaceae, Myristicaceae (all sites), Lauraceae, Sapotaceae, Meliaceae and Myristicaceae (lower sites)",4.76
"Family of Myrtaceae, Myristicaceae (all sites), Lauraceae, Sapotaceae, Meliaceae and Myristicaceae (lower sites)",3.46
"Family of Myrtaceae, Myristicaceae (all sites), Lauraceae, Sapotaceae, Meliaceae and Myristicaceae (lower sites)",2.89
Pinus halepensis,1.8
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",2.8
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",10.7
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",9.7
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",1.6
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",1.5
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",8.7
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",5.4
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",5.7
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",4.9
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",5.1
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",5.6
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",11.4
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",6.8
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",6.4
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",11
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",3.3
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",3.5
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",9.1
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",5.1
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",4.1
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",6
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",6.9
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",3.9
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",4.8
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",5.1
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",6.9
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",7.4
"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",3.4
"Rhododendron tymifolium, Potentilla fruticosa",3.6
Rhododendron nivale,1.85
"Lonicera tibetica, Artemisia gmelinii",3.83
Betula spp.,5.69
Quercus semicarpiforlia,6.81
"Pinus densata, Quercus semicarpiforlia",6.71
"Pinus densata, Quercus semicarpiforlia",6.71
Abies georget,12.41
Abies georget,8.86
"Sabina saltuaria, Rhododendron",4.54
Abies georget,10.18
"Cyclobalanopsis oxyodon, Lithocarpus cleistocarpus, Phoebe chinensis, Lindera pulcherrina, Acer spp., Populus spp.",4.55
"Phoebe chinesis, Lithocarpus cleistocarpus, Acer sp., Populus purdomii",6.23
"Abies fabri, Picea brachytyla, Tsuga chinesis, Acer sp., Betula sp.",10.31
Abies fabri,7.78
"Abies fabri, Populus purdomii",10.17
Abies fabri,10.21
Quercus,4.31
Evergreen broadleaf species,11.82
Tropical forest tree species,7.11
Quercus rubra,4.9
Fagus sylvatica,4.5
Picea abies,6.1
Pinus sylvestris,4.2
"Eperua falcata, Vouacapoua americana, Dicorynia guianensis, Carapa procera",8.6
Pinus ponderosa,9
Adenostoma fasciculatum,1.1
"Quercus ilex, Quercus suber",2.35
Pinus pinaster,4.15
Quercus ilex,2.96
"Pistacia lentiscus, Juniperus phoenicea",2.56
"Quercus robur, Fraxinus oxyphylla",2
Quercus cerris,4.3
Quercus cerris,4.5
Quercus cerris,3.8
Quercus ilex,3.5
Populus tremuloides,5.5
Acacia aneura,2.13
Acacia aneura,1.57
Acacia aneura,1.56
Acacia aneura,1.41
Acacia aneura,1.22
Acacia aneura,1.17
Acacia aneura,0.76
Acacia aneura,0.99
Acacia aneura,0.53
Acacia aneura,0.64
Acacia aneura,0.47
Acacia aneura,0.58
Acacia aneura,0.31
Acacia aneura,0.34
Acacia aneura,0.39
Acacia aneura,0.3
Acacia aneura,0.23
Acacia aneura,0.3
Acacia aneura,0.13
Eucalyptus camaldulensis,3.26
Eucalyptus camaldulensis,2.46
Eucalyptus camaldulensis,2.11
Eucalyptus camaldulensis,2.23
Eucalyptus camaldulensis,2.62
Eucalyptus camaldulensis,2.39
Eucalyptus camaldulensis,1.35
Eucalyptus camaldulensis,1.23
Eucalyptus camaldulensis,0.98
Eucalyptus camaldulensis,0.28
Other Acacia,0.59
Other Acacia,1.04
Other Acacia,0.53
Other Acacia,0.49
Other Acacia,0.49
Other Acacia,0.18
Cassiope tetragona,1.1
Cassiope tetragona,0.78
Cassiope tetragona,0.4
Cassiope tetragona,0.5
Cassiope tetragona,0.41
Cassiope tetragona,0.46
Cassiope tetragona,0.65
Cassiope tetragona,0.85
"Heath; deciduous(35-60%), evergreen(30-60%)",0.11
"Shrub; Deciduous (70-100%), evergreen(0-30%)",1.52
"Heath; deciduous(35-60%), evergreen(30-60%)",0.65
"Shrub; Deciduous (70-100%), evergreen(0-30%)",0.58
"Shrub; Deciduous (70-100%), evergreen(0-30%)",1.88
"Heath; deciduous(35-60%), evergreen(30-60%)",0.83
"Betula nana, Eriophorum vaginatum, Sphagnum mosses",2.15
"Sphagnum mosses, Epriophorum vaginatum, Betual nana",1.04
"Salix pulchra, Betual nana",2.95
Moist tropical evergreen forest,5.6
Pseudotsuga menziesii,7.3
Pseudotsuga menziesii,4.7
Picea mariana,4.3
Picea mariana,3.7
Abies balsamea,9.4
Abies balsamea,8.4
Abies balsamea,8.6
Pinus strobus,8
Pinus strobus,5.9
Pinus strobus,12.8
Pinus banksiana,3.4
Populus tremuloides,2.1
Picea mariana,3.8
Pinus banksiana,2.6
Pinus banksiana,2.9
"Ledum groenlandicum, Chamaedaphne calyculata, Kalmia augustifolium, Vaccinium myrtilloides",1.3
"Larix laricina, Picea mariana",2.61
"Carex limosa, Smilacina trifolia, Andromeda polifolia, Picea mariana",1.5
"Ledum palustre, Empetrum nigrum, Sphagnuim spp.",0.7
Betula glandulosa,0.52
"Picea glauca, Picea mariana",1.26
"Picea glauca, Picea mariana, Betula glandulosa",1.61
"Picea glauca, Picea mariana",0.44
"Picea glauca, Picea mariana",3.08
Eucalyptus globulus,2.7
Eucalyptus globulus,2.8
Eucalyptus globulus,3.7
Eucalyptus globulus,3.5
Eucalyptus globulus,2.7
Maple,4.37
Alder/Maple,4.02
Alder,4.44
Maple/Pine,5.42
Maple,3.5
Alder,4.26
Alder/Maple,2.26
Alder/Maple,2.3
Robinia pseudoacacia,2.89
Fagus sylvatica,6.15
Fagus sylvatica,5.05
Quercus robur,5.34
Podocarpus falcatus,1.78
Cordia africana,0.61
Eucalyptus saligna,1.65
Pinus patula,2.46
Cupressus lusitanica,3.84
"Fagus grandifolia, Acer saccharum, Betula alleghaniensis",5.95
Phyllostachys pubescens,2.88
Quercus douglasii,0.83
Iva frutescens,0.84
Rhus copallina,1.52
Elaeagnus umbellata,5.8
Rhododendron maximum,8.36
Morella cerifera,6.7
Morella cerifera,10
Morella cerifera,9.8
Morella cerifera,12.5
"Quercus rubra, Carya spp.",6.9
"Quercus Prinus, Acer rubrum",5.4
"Quercus Prinus, Acer rubrum",5.4
"Carya spp., Quercus Prinus",6.7
"Quercus Prinus, Quercus velutina",6
"Acer rubrum, Carya spp.",5.2
"Quercus Prinus, Acer rubrum",4.7
"Acer rubrum, Quercus Prinus ",4.5
"Acer rubrum, Quercus Prinus ",7.2
Quercus rubra,2.7
"Carya spp., Quercus Prinus",4.1
"Quercus Prinus, Liriodendron tulipifera",5.2
Quercus prinus,8.2
"Quercus Prinus, Quercus velutina",6
"Quercus Prinus, Quercus velutina",7.4
Quercus prinus,6.5
Eucalyptus globulus,3
Eucalyptus globulus,2.9
Eucalyptus globulus,5.3
Eucalyptus globulus,3
Eucalyptus globulus,2.4
Eucalyptus globulus,3.3
Eucalyptus globulus,5
Eucalyptus globulus,2.3
Eucalyptus globulus,3.9
Eucalyptus globulus,2.4
Eucalyptus globulus,3.37
Eucalyptus globulus,4.54
Eucalyptus globulus,4.87
Eucalyptus globulus,3.11
Eucalyptus marginata,3
Eucalyptus marginata,1.71
Eucalyptus marginata,1.66
Eucalyptus marginata,2.75
Eucalyptus marginata,1.89
Eucalyptus marginata,2.72
Eucalyptus marginata,2.83
Eucalyptus marginata,2.61
Eucalyptus marginata,1.94
Eucalyptus marginata,2.31
Eucalyptus marginata,1.06
Eucalyptus marginata,0.85
Eucalyptus marginata,1.73
Fagus sylvatica,8.1
Fagus sylvatica,6.1
Fagus sylvatica,6.2
Betula ermanii,5.46
Abies balsamea,11.3
Abies balsamea,9.6
Abies balsamea,10.15
Abies balsamea,9.2
Abies balsamea,10.15
Abies balsamea,10.8
Picea rubens,10.55
Picea rubens,8.15
Picea rubens,8.2
Picea rubens,10.3
Abies balsamea,10.95
Abies balsamea,14.45
Picea stichensis,8.5
Picea stichensis,7.22
Picea stichensis,7.41
Picea stichensis,5.74
Picea stichensis,5.64
Picea stichensis,4.79
Pinus sylvestris,3.57
Picea abies,7.77
Picea abies,9.2
Picea abies,12.78
Picea abies,3.11
Picea abies,4.53
Picea abies,5.26
Picea abies,3.85
Picea abies,4.81
Picea abies,6.65
Picea abies,7.13
Picea abies,9.41
Picea abies,9.97
