id,species,accepted_name,gbif_taxon_key,family,order,common_name,growth_form,landscape_category,leaf_phenology,native_region,native_koppen,lai_mean,lai_min,lai_max,lai_sd,lai_n,lai_method,lai_context,lai_measurement_koppen,pft,tier,tier_source,urban_context,sources,notes,entry_date,data_version,ai_assisted,ai_model
5937,Pennisetum tristachyon,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Pennisetum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5938,Pennisetum tristachyum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Pennisetum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5939,Pennisetum typhoides,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Pennisetum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5940,Pennisetum uniflorum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Pennisetum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5941,Pennisetum unisetum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Pennisetum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5942,Pennisetum validum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Pennisetum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5943,Pennisetum versicolor,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Pennisetum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5944,Pennisetum verticillatum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Pennisetum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5945,Pennisetum villosum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Pennisetum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5946,Pennisetum violaceum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: . PFT LAI: Bonan (2008) Science 320:1444",Genus Pennisetum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5947,Pennisetum weberbaueri,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Pennisetum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5948,Pennisetum yemense,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Pennisetum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5949,Saccharum acinaciforme,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5950,Saccharum aegyptiacum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5951,Saccharum alopecuroides,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5952,Saccharum alopecuroideum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5953,Saccharum angustifolium,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5954,Saccharum arenicola,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5955,Saccharum arundinaceum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5956,Saccharum asperum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5957,Saccharum aureum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5958,Saccharum baldwinii,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5959,Saccharum barberi,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5960,Saccharum barbicostatum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5961,Saccharum beccarii,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5962,Saccharum bengalense,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5963,Saccharum biflorum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5964,Saccharum brachypogon,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5965,Saccharum bracteatum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5966,Saccharum brasilianum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5967,Saccharum brevibarbe,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5968,Saccharum brevifolium,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5969,Saccharum brunneum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5970,Saccharum canaliculatum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5971,Saccharum casi,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5972,Saccharum chinense,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5973,Saccharum ciliare,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5974,Saccharum coarctatum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5975,Saccharum conjugatum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5976,Saccharum contortum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5977,Saccharum contractum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5978,Saccharum cultum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5979,Saccharum deciduum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5980,Saccharum densum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5981,Saccharum dissitiflorum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5982,Saccharum dubium,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5983,Saccharum ecklonii,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5984,Saccharum edule,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5985,Saccharum elegans,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5986,Saccharum erianthoides,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5987,Saccharum europaeum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5988,Saccharum exaltatum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5989,Saccharum fallax,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5990,Saccharum filifolium,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5991,Saccharum filiforme,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5992,Saccharum floridulum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5993,Saccharum formosanum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5994,Saccharum fulvum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5995,Saccharum fuscum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5996,Saccharum giganteum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
5997,Saccharum glaucum,,,,,,graminoid,Grass,evergreen,,"Af,Am,Aw",1.8,0.5,3.5,,0,PFT-inferred,inferred,,TrGr,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Poaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Saccharum GBIF accepted species. PFT: TrGr. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
