id,species,common_name,mean_lai,median_lai,min_lai,max_lai,measurement_count,sources,tropical,category,canopy_form,height_mature_m,canopy_radius_mature_m,trunk_height_m,height_typical_m,canopy_radius_typical_m,min_substrate_mm,wikipedia_height_m,size_source
181,Salix viminalis,,2.2,2.2,1.9,2.5,4,"ORNL, TRY",FALSE,Tree,spreading,12,7,2,7.8,4.5,1000,,category default
182,Eucalyptus calophylla,,2.1,2.1,1.9,2.3,4,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
183,Weinmannia trichosperma,,2.1,2.1,2.1,2.1,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
184,Nothofagus pumilio,,2.073,2.02,1.19,2.9,18,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
185,Eucalyptus marginata,,2.036,1.845,0.85,4,48,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
186,Populus canadensis Moench (clone I-214),,2.02,2.02,2.02,2.02,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
187,Nothofagus antarctica,,2.005,1.91,0.75,4.7,20,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
188,Larix gmelinii,,2.004,1.68,1.03,5.7,26,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
189,Eucalyptus camaldulensis,,2.001,2.17,0.28,3.58,24,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
190,Populus spp,,1.96,1.96,1.96,1.96,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
191,Eucalyptus cypellocarpa,,1.95,1.95,1.95,1.95,2,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
192,Pinus mugo,,1.9,1.9,1.9,1.9,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
193,Abies faxoniana,,1.9,1.9,1.9,1.9,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
194,Pinus sibirica,,1.89,1.89,1.89,1.89,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
195,Eucalyptus delegatensis,,1.805,1.805,1.5,2.11,4,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
196,Eucalyptus dives,,1.8,1.8,1.8,1.8,2,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
197,Podocarpus falcatus,,1.78,1.78,1.78,1.78,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
198,Qualea grandiflora,,1.757,1.63,0.73,3.04,22,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
199,Pinus yunnanensis,,1.75,1.75,1.7,1.8,4,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
200,Taxodium distichum,,1.7,1.7,0.5,2.9,4,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
201,Scaphium macropodum,,1.68,1.68,1.68,1.68,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
202,Diospyros fusiformis,,1.65,1.65,1.65,1.65,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
203,Eucalyptus,,1.577,1.77,0.01,4.4,52,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
204,Betula nana,,1.543,1.02,0.97,2.64,6,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
205,Litsea lancifolia,,1.51,1.51,1.51,1.51,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
206,Picea purpurea,,1.5,1.5,1.5,1.5,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
207,Urophyllum griffithianum,,1.43,1.43,1.43,1.43,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
208,Pinus halepensis,,1.427,1.33,1.15,1.8,6,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
209,Scaphium longipetiolatum,,1.38,1.38,1.38,1.38,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
210,Acer spicatum,,1.335,1.04,0.41,6.9,99,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
211,Aporusa grandistipula,,1.32,1.32,1.32,1.32,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
212,Urophyllum glabrum,,1.28,1.28,1.28,1.28,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
213,Litsea accedens,,1.23,1.23,1.23,1.23,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
214,Qualea parviflora,,1.161,1.06,0.68,2.07,20,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
215,Eucalyptus radiata,,1.13,1.13,1.13,1.13,2,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
216,Shorea multiflora,,1.13,1.13,1.13,1.13,1,TRY,TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
217,Annona crassiflora,,1.123,1.145,0.72,1.56,20,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
218,Eucalyptus ovata,,1.08,1.08,1.08,1.08,2,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
219,Dacryodes rostrata,,1.06,1.06,1.06,1.06,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
220,Canarium denticulatum,,1.04,1.04,1.04,1.04,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
221,Eucalyptus sp.,,0.993,0.83,0.36,2.31,46,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
222,Eucalyptus viminalis,,0.99,0.99,0.99,0.99,2,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
223,Shorea falciferoides,,0.99,0.99,0.99,0.99,1,TRY,TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
224,Cleistanthus paxii,,0.97,0.97,0.97,0.97,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
225,Dipterocarpus applanatus,,0.97,0.97,0.97,0.97,1,TRY,TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
226,Dacryodes laxa,,0.96,0.96,0.96,0.96,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
227,Eucalyptus luecoxylon,,0.95,0.95,0.95,0.95,2,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
228,Dalbergia miscolobium,,0.897,0.59,0.17,2.51,20,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
229,Cleistanthus baramicus,,0.89,0.89,0.89,0.89,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
230,Shorea xanthophylla,,0.87,0.87,0.87,0.87,1,TRY,TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
231,Aporusa lucida,,0.86,0.86,0.86,0.86,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
232,Eucalyptus dumosa,,0.853,0.75,0.6,1.21,6,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
233,Eucalyptus pauciflora,,0.85,0.85,0.85,0.85,2,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
234,Quercus douglasii,,0.83,0.83,0.83,0.83,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
235,Shorea leprosula,,0.82,0.82,0.82,0.82,1,TRY,TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
236,Dipterocarpus grandiflorus,,0.8,0.8,0.8,0.8,1,TRY,TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
237,Larix laricina,,0.747,0.86,0.38,1,6,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
238,Eucalyptus bridgesiana,,0.72,0.72,0.72,0.72,2,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
239,Canarium pilosum,,0.71,0.71,0.71,0.71,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
240,Diospyros curranii,,0.7,0.7,0.7,0.7,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
241,Eucalyptus porosa,,0.69,0.69,0.69,0.69,2,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
242,Eucalyptus stellulata,,0.66,0.66,0.66,0.66,2,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
243,Eucalyptus fasciculosa,,0.595,0.595,0.44,0.75,4,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
244,Dipterocarpus acutangulus,,0.57,0.57,0.57,0.57,1,TRY,TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
245,Eucalyptus socialis,,0.56,0.56,0.45,0.67,4,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
246,Betula glandulosa,,0.52,0.52,0.52,0.52,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
247,Dipterocarpus caudiferus,,0.26,0.26,0.26,0.26,1,TRY,TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
248,Cornus stolonifera,,0.047,0.03,0.01,0.23,73,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
249,Morella cerifera,,9.75,9.9,6.7,12.5,8,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
250,Rhododendron maximum,,8.36,8.36,8.36,8.36,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
251,Ilex aquifolium,,6.1,6.1,5.6,6.6,4,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
252,Leiophyllum lyoni,,3.1,3.1,3.1,3.1,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
253,Arbutus unedo,,3.05,3.05,3.05,3.05,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
254,Atriplex canescens,,2.99,2.99,2.99,2.99,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
255,Atriplex lentiformis (Torr.),,2.82,2.82,2.82,2.82,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
256,Rhododendron catawbiense,,2.8,2.8,2.8,2.8,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
257,Sarcobatus vermiculatus,,2.22,2.22,2.22,2.22,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
258,Cistus albidus,,2.2,2.2,2.2,2.2,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
259,Vaccinium myrtilloides,,2.18,2.18,2.18,2.18,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
260,Atriplex confertifolia,,2.12,2.12,2.12,2.12,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
261,Chrysothamnus consimilis,,2.02,2.02,2.02,2.02,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
262,Rhododendron carolinianum,,2,2,2,2,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
263,Chamaedaphne calyculata,,1.92,1.92,1.92,1.92,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
264,Rhododendron nivale,,1.85,1.85,1.85,1.85,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
265,Loiseleuria procumbens,,1.66,1.66,0.02,3.3,4,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
266,Rhus copallina,,1.52,1.52,1.52,1.52,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
267,Cistus monospeliensis,,1.36,1.36,1.36,1.36,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
268,Adenostoma fasciculatum,,1.1,1.1,1.1,1.1,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
269,Artemisia tridentata,,1,1,1,1,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
270,Cassiope tetragona,,0.612,0.5,0.36,1.1,18,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
271,Empetrum hermaphroditum,,0.61,0.61,0.5,0.72,4,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
272,Larrea divaricata,,0.6,0.6,0.6,0.6,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
273,Vaccinium uliginosum,,0.38,0.38,0.38,0.38,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
274,Melaleuca leucadendron,,0.37,0.37,0.37,0.37,2,"ORNL, TRY",TRUE,Shrub,shrub,3,1.5,0,2,1,500,,category default
275,Artemisia ordosica,,0.3,0.3,0.3,0.3,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
276,Andromeda polifolia,,0.23,0.23,0.23,0.23,2,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
277,Rhus typhina,,0.099,0.06,0.01,1.5,180,"ORNL, TRY",FALSE,Shrub,shrub,3,1.5,0,2,1,500,,category default
278,Agrostis capillaris,,6.198,6.655,3.24,8.39,18,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
279,Phalaris arundinacea,,6.1,6.1,6.1,6.1,1,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
280,Trisetum flavescens,,6.005,6.305,3.74,8.14,16,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
281,Arrhenatherum elatius,,5.677,6.29,2.61,7.66,18,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
282,Apera spica-venti,,5.643,5.77,3.51,7.04,8,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
283,Alopecurus pratensis,,5.603,6.01,2.9,7.65,21,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
284,Alopecurus geniculatus,,5.553,5.61,4.3,7.21,10,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
285,Anthoxanthum odoratum,,5.332,5.5,3.71,7.34,21,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
286,Brachypodium sylvaticum,,4.869,4.89,3.5,6.82,15,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
287,Calamagrostis epigejos,,4.654,4.76,3.21,6.42,21,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
288,Phalaris arundinaceae,,4.172,4.6,1.81,4.86,15,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
289,Holcus lanatus,,3.628,3.73,1.14,5.63,17,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
290,Festuca ovina,,3.449,2.855,0.46,6.34,38,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
291,Scirpus sylvaticus,,3.383,3.32,2.25,4.75,9,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
292,Luzula multiflora,,3.27,3.25,2.57,4.66,15,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
293,Deschampsia cespitosa,,3.078,3.15,2,4.52,15,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
294,Bromus hordeaceus,,2.604,3.01,0.62,3.78,11,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
295,Digitaria sanguinalis,,2.472,2.62,0.78,3.37,9,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
296,Poa annua,,2.421,1.115,0.18,5.99,18,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
297,Nardus stricta,,2.286,2.58,0.59,3.08,21,TRY,FALSE,Grass,columnar,20,1.5,2,13,1,1000,,category default
298,Molinia caerulea,,1.683,1.06,0.88,5.65,7,TRY,FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
299,Festuca ortophylla,,0.32,0.32,0.32,0.32,2,"ORNL, TRY",FALSE,Grass,grass,0.3,99,0,0.2,64.4,100,,category default
300,Lapsana communis,,5.521,5.72,4.02,6.83,10,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
301,Succisa pratensis,,5.087,4.9,4.15,6.93,7,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
302,Plantago major,,5.067,5.04,4.16,6.57,7,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
303,Clinopodium vulgare,,4.974,4.87,4.7,6.92,16,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
304,Cirsium arvense,,4.763,4.78,3.98,6.62,21,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
305,Origanum vulgare,,4.488,4.8,2.95,5.76,11,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
306,Trifolium pratense,,4.339,4.44,1.95,6.37,24,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
307,Taraxacum officinale,,4.33,4.33,4.33,4.33,1,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
308,Anthyllis vulneraria,,4.045,4.19,2.31,5.52,10,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
309,Geranium pratense,,3.925,3.74,3.22,5.42,17,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
310,Digitalis purpurea,,3.801,3.935,2.01,5.41,18,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
311,Cirsium acaule,,3.715,3.88,2.33,5.31,15,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
312,Geranium robertianum,,3.713,3.42,2.68,5.25,15,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
313,Urtica dioica,,3.57,3.78,1.85,4.86,21,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
314,Aegopodium podagraria,,3.547,3.37,3.08,5.03,21,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
315,Arctium lappa,,3.533,3.7,2.27,4.72,13,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
316,Taraxacum spec.,,3.031,3.23,0.5,4.15,11,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
317,Filipendula ulmaria,,2.878,3.32,0.93,4.34,14,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
318,Centaurium erythraea,,2.782,2.855,1.74,3.83,10,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
319,Medicago lupulina,,2.763,2.72,1.89,3.78,10,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
320,Stellaria media,,2.464,2.095,0.25,4.64,10,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
321,Pulicaria dysenterica,,2.315,2.215,1.34,4.31,26,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
322,Lamium purpureum,,2.214,2.23,1.09,3.39,14,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
323,Campanula rotundifolia,,1.385,1.09,0.28,2.97,21,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
324,Thlaspi arvense,,1.384,1.3,1.21,1.82,5,TRY,FALSE,Groundcover,groundcover,0.3,99,0,0.2,64.4,150,,category default
325,Phyllostachys bambusoides,,11.6,11.6,11.6,11.6,2,"ORNL, TRY",FALSE,Bamboo,round,15,5,2,9.8,3.2,1000,,category default
326,Phyllostachys pubescens,,5.45,5.45,2.88,8.02,4,"ORNL, TRY",FALSE,Bamboo,round,15,5,2,9.8,3.2,1000,,category default
327,Sasa tokugawana,,5.3,5.3,5.3,5.3,2,"ORNL, TRY",FALSE,Bamboo,round,15,5,2,9.8,3.2,1000,,category default
328,Sasa nikkoensis,,5.2,5.2,5.2,5.2,2,"ORNL, TRY",FALSE,Bamboo,round,15,5,2,9.8,3.2,1000,,category default
329,Dendrocalamus strictus,,5.08,5.08,5.08,5.08,2,"ORNL, TRY",FALSE,Bamboo,round,15,5,2,9.8,3.2,1000,,category default
330,Sasa nipponica,,4.7,4.7,4.7,4.7,2,"ORNL, TRY",FALSE,Bamboo,round,15,5,2,9.8,3.2,1000,,category default
331,Sasa oseana,,4.7,4.7,4.7,4.7,2,"ORNL, TRY",FALSE,Bamboo,round,15,5,2,9.8,3.2,1000,,category default
332,Sasa kurilensis,,3.725,3.725,2.15,5.3,4,"ORNL, TRY",FALSE,Bamboo,round,15,5,2,9.8,3.2,1000,,category default
333,Sasa senanensis,,3.25,3.25,3.25,3.25,2,"ORNL, TRY",FALSE,Bamboo,round,15,5,2,9.8,3.2,1000,,category default
334,Bruguiera conjugata,,7.6,7.6,6.5,8.7,4,"ORNL, TRY",FALSE,Mangrove,round,15,5,2,9.8,3.2,1000,,category default
335,Rhizophora mucronata,,5.4,5.4,5.4,5.4,2,"ORNL, TRY",FALSE,Mangrove,round,15,5,2,9.8,3.2,1000,,category default
336,Sonneratia apetala,,5.14,5.14,5.14,5.14,2,"ORNL, TRY",FALSE,Mangrove,round,15,5,2,9.8,3.2,1000,,category default
337,Laguncularia racemosa,,4.69,4.535,4.4,5.29,8,"ORNL, TRY",FALSE,Mangrove,round,15,5,2,9.8,3.2,1000,,category default
338,Rhizophora mangle,,4.41,4.4,2.91,5.86,30,"ORNL, TRY",FALSE,Mangrove,round,15,5,2,9.8,3.2,1000,,category default
339,Rhizophora apiculata,,4.147,4.16,3.36,4.93,16,"ORNL, TRY",FALSE,Mangrove,round,15,5,2,9.8,3.2,1000,,category default
340,Kandelia obovata,,3.17,3.17,3.17,3.17,2,"ORNL, TRY",FALSE,Mangrove,round,15,5,2,9.8,3.2,1000,,category default
341,Kandelia candel,,2.57,2.57,0.64,4.5,4,"ORNL, TRY",FALSE,Mangrove,round,15,5,2,9.8,3.2,1000,,category default
342,Avicennia germinans,,2.18,2.18,1.61,2.75,4,"ORNL, TRY",FALSE,Mangrove,round,15,5,2,9.8,3.2,1000,,category default
343,Avicennia marina,,1.834,1.1,0.56,3.45,10,"ORNL, TRY",FALSE,Mangrove,round,15,5,2,9.8,3.2,1000,,category default
344,Elaeis guineensis,,4.65,4.605,3.81,5.58,8,"ORNL, TRY",FALSE,Palm,round,15,5,2,9.8,3.2,1000,,category default
345,Tropical moist forest (395 spp.),,22.4,22.4,22.4,22.4,2,"ORNL, TRY",TRUE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
346,Cecropia spp.,,14.05,14.05,11.6,16.5,4,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
347,Evergreen broadleaf species,,11.82,11.82,11.82,11.82,2,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
348,Deciduous and evergreen species belonging to the Guineo-Conglian phytochorion,,9.105,9.105,8.97,9.24,4,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
349,Dipterocarp species,,7.27,7.27,7.27,7.27,2,"ORNL, TRY",TRUE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
350,Deciduous,,6.98,6.98,6.98,6.98,2,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
351,Dense coniferous,,6.74,6.74,6.74,6.74,2,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
352,Tropical rain forest species,,6.49,6.49,6.49,6.49,2,"ORNL, TRY",TRUE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
353,Tropical tree species,,6.26,6.2,6,6.7,10,"ORNL, TRY",TRUE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
354,Tropical forest tree species,,6.21,6.6,4.92,7.11,6,"ORNL, TRY",TRUE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
355,Tropical rainforest (1053 species),,6.125,6.125,5.85,6.4,4,"ORNL, TRY",TRUE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
356,Moist tropical tree species,,6.07,6.07,6.07,6.07,2,"ORNL, TRY",TRUE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
357,Moist tropical evergreen forest,,5.6,5.6,5.6,5.6,2,"ORNL, TRY",TRUE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
358,Tropical moist forest,,5.41,5.41,5.41,5.41,2,"ORNL, TRY",TRUE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
359,Calamus spp.,,5.4,5.4,5.4,5.4,2,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
360,Aspidosperma spp. (198 species in 4 ha),,5.2,5.2,5.2,5.2,2,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
361,Natural tropical cloud forest,,5.19,4.96,4.52,6.09,6,"ORNL, TRY",TRUE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
362,Micranda sprucei (total 59 species),,5.1,5.1,4.4,5.8,4,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
363,Pinus spp.,,4.87,4.87,4.87,4.87,2,"ORNL, TRY",FALSE,Generic-Benchmark,conical,20,4,3,13,2.6,1000,,category default
364,1176 tree species,,4.7,4.7,4.7,4.7,1,ORNL,FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
365,Pinus (heath),,4.7,4.7,4.7,4.7,2,"ORNL, TRY",FALSE,Generic-Benchmark,conical,20,4,3,13,2.6,1000,,category default
366,Riparian forests,,4.51,4.51,4.51,4.51,2,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
367,Cupressus spp.,,4.49,4.49,4.49,4.49,2,"ORNL, TRY",FALSE,Generic-Benchmark,conical,20,4,3,13,2.6,1000,,category default
368,Alder,,4.35,4.35,4.26,4.44,4,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
369,Maple,,3.935,3.935,3.5,4.37,4,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
370,Deciduous northern temperate tree species,,3.82,3.82,3.82,3.82,2,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
