species,mean_lai,median_lai,min_lai,max_lai,measurement_count,sources,datasets,lat_range,tropical_by_lat,tropical_by_keyword,tropical,category
Larix gmelinii,2.004,1.68,1.03,5.7,26,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucalyptus camaldulensis,2.001,2.17,0.28,3.58,24,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Populus spp,1.96,1.96,1.96,1.96,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucalyptus cypellocarpa,1.95,1.95,1.95,1.95,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Pinus mugo,1.9,1.9,1.9,1.9,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Abies faxoniana,1.9,1.9,1.9,1.9,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Pinus sibirica,1.89,1.89,1.89,1.89,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucalyptus delegatensis,1.805,1.805,1.5,2.11,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Eucalyptus dives,1.8,1.8,1.8,1.8,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Podocarpus falcatus,1.78,1.78,1.78,1.78,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Qualea grandiflora,1.757,1.63,0.73,3.04,22,TRY,TRY Database (summary),,False,False,False,Tree
Pinus yunnanensis,1.75,1.75,1.7,1.8,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Taxodium distichum,1.7,1.7,0.5,2.9,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Scaphium macropodum,1.68,1.68,1.68,1.68,1,TRY,TRY Database (summary),,False,False,False,Tree
Diospyros fusiformis,1.65,1.65,1.65,1.65,1,TRY,TRY Database (summary),,False,False,False,Tree
Eucalyptus,1.577,1.77,0.01,4.4,52,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Betula nana,1.543,1.02,0.97,2.64,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Litsea lancifolia,1.51,1.51,1.51,1.51,1,TRY,TRY Database (summary),,False,False,False,Tree
Picea purpurea,1.5,1.5,1.5,1.5,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Urophyllum griffithianum,1.43,1.43,1.43,1.43,1,TRY,TRY Database (summary),,False,False,False,Tree
Pinus halepensis,1.427,1.33,1.15,1.8,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Scaphium longipetiolatum,1.38,1.38,1.38,1.38,1,TRY,TRY Database (summary),,False,False,False,Tree
Acer spicatum,1.335,1.04,0.41,6.9,99,TRY,TRY Database (summary),,False,False,False,Tree
Aporusa grandistipula,1.32,1.32,1.32,1.32,1,TRY,TRY Database (summary),,False,False,False,Tree
Urophyllum glabrum,1.28,1.28,1.28,1.28,1,TRY,TRY Database (summary),,False,False,False,Tree
Litsea accedens,1.23,1.23,1.23,1.23,1,TRY,TRY Database (summary),,False,False,False,Tree
Qualea parviflora,1.161,1.06,0.68,2.07,20,TRY,TRY Database (summary),,False,False,False,Tree
Eucalyptus radiata,1.13,1.13,1.13,1.13,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Shorea multiflora,1.13,1.13,1.13,1.13,1,TRY,TRY Database (summary),,False,True,True,Tree
Annona crassiflora,1.123,1.145,0.72,1.56,20,TRY,TRY Database (summary),,False,False,False,Tree
Eucalyptus ovata,1.08,1.08,1.08,1.08,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Dacryodes rostrata,1.06,1.06,1.06,1.06,1,TRY,TRY Database (summary),,False,False,False,Tree
Canarium denticulatum,1.04,1.04,1.04,1.04,1,TRY,TRY Database (summary),,False,False,False,Tree
Eucalyptus sp.,0.993,0.83,0.36,2.31,46,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Eucalyptus viminalis,0.99,0.99,0.99,0.99,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Shorea falciferoides,0.99,0.99,0.99,0.99,1,TRY,TRY Database (summary),,False,True,True,Tree
Cleistanthus paxii,0.97,0.97,0.97,0.97,1,TRY,TRY Database (summary),,False,False,False,Tree
Dipterocarpus applanatus,0.97,0.97,0.97,0.97,1,TRY,TRY Database (summary),,False,True,True,Tree
Dacryodes laxa,0.96,0.96,0.96,0.96,1,TRY,TRY Database (summary),,False,False,False,Tree
Eucalyptus luecoxylon,0.95,0.95,0.95,0.95,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Dalbergia miscolobium,0.897,0.59,0.17,2.51,20,TRY,TRY Database (summary),,False,False,False,Tree
Cleistanthus baramicus,0.89,0.89,0.89,0.89,1,TRY,TRY Database (summary),,False,False,False,Tree
Shorea xanthophylla,0.87,0.87,0.87,0.87,1,TRY,TRY Database (summary),,False,True,True,Tree
Aporusa lucida,0.86,0.86,0.86,0.86,1,TRY,TRY Database (summary),,False,False,False,Tree
Eucalyptus dumosa,0.853,0.75,0.6,1.21,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Eucalyptus pauciflora,0.85,0.85,0.85,0.85,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Quercus douglasii,0.83,0.83,0.83,0.83,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Shorea leprosula,0.82,0.82,0.82,0.82,1,TRY,TRY Database (summary),,False,True,True,Tree
Dipterocarpus grandiflorus,0.8,0.8,0.8,0.8,1,TRY,TRY Database (summary),,False,True,True,Tree
Larix laricina,0.747,0.86,0.38,1.0,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Eucalyptus bridgesiana,0.72,0.72,0.72,0.72,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Canarium pilosum,0.71,0.71,0.71,0.71,1,TRY,TRY Database (summary),,False,False,False,Tree
Diospyros curranii,0.7,0.7,0.7,0.7,1,TRY,TRY Database (summary),,False,False,False,Tree
Eucalyptus porosa,0.69,0.69,0.69,0.69,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Eucalyptus stellulata,0.66,0.66,0.66,0.66,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Eucalyptus fasciculosa,0.595,0.595,0.44,0.75,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Dipterocarpus acutangulus,0.57,0.57,0.57,0.57,1,TRY,TRY Database (summary),,False,True,True,Tree
Eucalyptus socialis,0.56,0.56,0.45,0.67,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Tree
Betula glandulosa,0.52,0.52,0.52,0.52,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Tree
Dipterocarpus caudiferus,0.26,0.26,0.26,0.26,1,TRY,TRY Database (summary),,False,True,True,Tree
Cornus stolonifera,0.047,0.03,0.01,0.23,73,TRY,TRY Database (summary),,False,False,False,Tree
Morella cerifera,9.75,9.9,6.7,12.5,8,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Rhododendron maximum,8.36,8.36,8.36,8.36,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Ilex aquifolium,6.1,6.1,5.6,6.6,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Leiophyllum lyoni,3.1,3.1,3.1,3.1,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Arbutus unedo,3.05,3.05,3.05,3.05,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Atriplex canescens,2.99,2.99,2.99,2.99,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Atriplex lentiformis (Torr.),2.82,2.82,2.82,2.82,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Rhododendron catawbiense,2.8,2.8,2.8,2.8,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Sarcobatus vermiculatus,2.22,2.22,2.22,2.22,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Cistus albidus,2.2,2.2,2.2,2.2,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Vaccinium myrtilloides,2.18,2.18,2.18,2.18,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Atriplex confertifolia,2.12,2.12,2.12,2.12,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Chrysothamnus consimilis,2.02,2.02,2.02,2.02,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Rhododendron carolinianum,2.0,2.0,2.0,2.0,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Chamaedaphne calyculata,1.92,1.92,1.92,1.92,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Rhododendron nivale,1.85,1.85,1.85,1.85,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Loiseleuria procumbens,1.66,1.66,0.02,3.3,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Rhus copallina,1.52,1.52,1.52,1.52,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Cistus monospeliensis,1.36,1.36,1.36,1.36,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Adenostoma fasciculatum,1.1,1.1,1.1,1.1,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Artemisia tridentata,1.0,1.0,1.0,1.0,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Cassiope tetragona,0.612,0.5,0.36,1.1,18,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Empetrum hermaphroditum,0.61,0.61,0.5,0.72,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Larrea divaricata,0.6,0.6,0.6,0.6,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Vaccinium uliginosum,0.38,0.38,0.38,0.38,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Melaleuca leucadendron,0.37,0.37,0.37,0.37,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Shrub
Artemisia ordosica,0.3,0.3,0.3,0.3,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Andromeda polifolia,0.23,0.23,0.23,0.23,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Rhus typhina,0.099,0.06,0.01,1.5,180,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Shrub
Agrostis capillaris,6.198,6.655,3.24,8.39,18,TRY,TRY Database (summary),,False,False,False,Grass
Phalaris arundinacea,6.1,6.1,6.1,6.1,1,TRY,TRY Database (summary),,False,False,False,Grass
Trisetum flavescens,6.005,6.305,3.74,8.14,16,TRY,TRY Database (summary),,False,False,False,Grass
Arrhenatherum elatius,5.677,6.29,2.61,7.66,18,TRY,TRY Database (summary),,False,False,False,Grass
Apera spica-venti,5.643,5.77,3.51,7.04,8,TRY,TRY Database (summary),,False,False,False,Grass
Alopecurus pratensis,5.603,6.01,2.9,7.65,21,TRY,TRY Database (summary),,False,False,False,Grass
Alopecurus geniculatus,5.553,5.61,4.3,7.21,10,TRY,TRY Database (summary),,False,False,False,Grass
Anthoxanthum odoratum,5.332,5.5,3.71,7.34,21,TRY,TRY Database (summary),,False,False,False,Grass
Brachypodium sylvaticum,4.869,4.89,3.5,6.82,15,TRY,TRY Database (summary),,False,False,False,Grass
Calamagrostis epigejos,4.654,4.76,3.21,6.42,21,TRY,TRY Database (summary),,False,False,False,Grass
Phalaris arundinaceae,4.172,4.6,1.81,4.86,15,TRY,TRY Database (summary),,False,False,False,Grass
Holcus lanatus,3.628,3.73,1.14,5.63,17,TRY,TRY Database (summary),,False,False,False,Grass
Festuca ovina,3.449,2.855,0.46,6.34,38,TRY,TRY Database (summary),,False,False,False,Grass
Scirpus sylvaticus,3.383,3.32,2.25,4.75,9,TRY,TRY Database (summary),,False,False,False,Grass
Luzula multiflora,3.27,3.25,2.57,4.66,15,TRY,TRY Database (summary),,False,False,False,Grass
Deschampsia cespitosa,3.078,3.15,2.0,4.52,15,TRY,TRY Database (summary),,False,False,False,Grass
Bromus hordeaceus,2.604,3.01,0.62,3.78,11,TRY,TRY Database (summary),,False,False,False,Grass
Digitaria sanguinalis,2.472,2.62,0.78,3.37,9,TRY,TRY Database (summary),,False,False,False,Grass
Poa annua,2.421,1.115,0.18,5.99,18,TRY,TRY Database (summary),,False,False,False,Grass
Nardus stricta,2.286,2.58,0.59,3.08,21,TRY,TRY Database (summary),,False,False,False,Grass
Molinia caerulea,1.683,1.06,0.88,5.65,7,TRY,TRY Database (summary),,False,False,False,Grass
Festuca ortophylla,0.32,0.32,0.32,0.32,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Grass
Lapsana communis,5.521,5.72,4.02,6.83,10,TRY,TRY Database (summary),,False,False,False,Groundcover
Succisa pratensis,5.087,4.9,4.15,6.93,7,TRY,TRY Database (summary),,False,False,False,Groundcover
Plantago major,5.067,5.04,4.16,6.57,7,TRY,TRY Database (summary),,False,False,False,Groundcover
Clinopodium vulgare,4.974,4.87,4.7,6.92,16,TRY,TRY Database (summary),,False,False,False,Groundcover
Cirsium arvense,4.763,4.78,3.98,6.62,21,TRY,TRY Database (summary),,False,False,False,Groundcover
Origanum vulgare,4.488,4.8,2.95,5.76,11,TRY,TRY Database (summary),,False,False,False,Groundcover
Trifolium pratense,4.339,4.44,1.95,6.37,24,TRY,TRY Database (summary),,False,False,False,Groundcover
Taraxacum officinale,4.33,4.33,4.33,4.33,1,TRY,TRY Database (summary),,False,False,False,Groundcover
Anthyllis vulneraria,4.045,4.19,2.31,5.52,10,TRY,TRY Database (summary),,False,False,False,Groundcover
Geranium pratense,3.925,3.74,3.22,5.42,17,TRY,TRY Database (summary),,False,False,False,Groundcover
Digitalis purpurea,3.801,3.935,2.01,5.41,18,TRY,TRY Database (summary),,False,False,False,Groundcover
Cirsium acaule,3.715,3.88,2.33,5.31,15,TRY,TRY Database (summary),,False,False,False,Groundcover
Geranium robertianum,3.713,3.42,2.68,5.25,15,TRY,TRY Database (summary),,False,False,False,Groundcover
Urtica dioica,3.57,3.78,1.85,4.86,21,TRY,TRY Database (summary),,False,False,False,Groundcover
Aegopodium podagraria,3.547,3.37,3.08,5.03,21,TRY,TRY Database (summary),,False,False,False,Groundcover
Arctium lappa,3.533,3.7,2.27,4.72,13,TRY,TRY Database (summary),,False,False,False,Groundcover
Taraxacum spec.,3.031,3.23,0.5,4.15,11,TRY,TRY Database (summary),,False,False,False,Groundcover
Filipendula ulmaria,2.878,3.32,0.93,4.34,14,TRY,TRY Database (summary),,False,False,False,Groundcover
Centaurium erythraea,2.782,2.855,1.74,3.83,10,TRY,TRY Database (summary),,False,False,False,Groundcover
Medicago lupulina,2.763,2.72,1.89,3.78,10,TRY,TRY Database (summary),,False,False,False,Groundcover
Stellaria media,2.464,2.095,0.25,4.64,10,TRY,TRY Database (summary),,False,False,False,Groundcover
Pulicaria dysenterica,2.315,2.215,1.34,4.31,26,TRY,TRY Database (summary),,False,False,False,Groundcover
Lamium purpureum,2.214,2.23,1.09,3.39,14,TRY,TRY Database (summary),,False,False,False,Groundcover
Campanula rotundifolia,1.385,1.09,0.28,2.97,21,TRY,TRY Database (summary),,False,False,False,Groundcover
Thlaspi arvense,1.384,1.3,1.21,1.82,5,TRY,TRY Database (summary),,False,False,False,Groundcover
Phyllostachys bambusoides,11.6,11.6,11.6,11.6,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Bamboo
Phyllostachys pubescens,5.45,5.45,2.88,8.02,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Bamboo
Sasa tokugawana,5.3,5.3,5.3,5.3,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Bamboo
Sasa nikkoensis,5.2,5.2,5.2,5.2,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Bamboo
Dendrocalamus strictus,5.08,5.08,5.08,5.08,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Bamboo
Sasa nipponica,4.7,4.7,4.7,4.7,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Bamboo
Sasa oseana,4.7,4.7,4.7,4.7,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Bamboo
Sasa kurilensis,3.725,3.725,2.15,5.3,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Bamboo
Sasa senanensis,3.25,3.25,3.25,3.25,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Bamboo
Bruguiera conjugata,7.6,7.6,6.5,8.7,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Mangrove
Rhizophora mucronata,5.4,5.4,5.4,5.4,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Mangrove
Sonneratia apetala,5.14,5.14,5.14,5.14,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Mangrove
Laguncularia racemosa,4.69,4.535,4.4,5.29,8,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Mangrove
Rhizophora mangle,4.41,4.4,2.91,5.86,30,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Mangrove
Rhizophora apiculata,4.147,4.16,3.36,4.93,16,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Mangrove
Kandelia obovata,3.17,3.17,3.17,3.17,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Mangrove
Kandelia candel,2.57,2.57,0.64,4.5,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Mangrove
Avicennia germinans,2.18,2.18,1.61,2.75,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Mangrove
Avicennia marina,1.834,1.1,0.56,3.45,10,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Mangrove
Elaeis guineensis,4.65,4.605,3.81,5.58,8,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Palm
Tropical moist forest (395 spp.),22.4,22.4,22.4,22.4,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Generic-Benchmark
Cecropia spp.,14.05,14.05,11.6,16.5,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Evergreen broadleaf species,11.82,11.82,11.82,11.82,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Deciduous and evergreen species belonging to the Guineo-Conglian phytochorion,9.105,9.105,8.97,9.24,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Dipterocarp species,7.27,7.27,7.27,7.27,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Generic-Benchmark
Deciduous,6.98,6.98,6.98,6.98,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Dense coniferous,6.74,6.74,6.74,6.74,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Tropical rain forest species,6.49,6.49,6.49,6.49,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Generic-Benchmark
Tropical tree species,6.26,6.2,6.0,6.7,10,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Generic-Benchmark
Tropical forest tree species,6.21,6.6,4.92,7.11,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Generic-Benchmark
Tropical rainforest (1053 species),6.125,6.125,5.85,6.4,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Generic-Benchmark
Moist tropical tree species,6.07,6.07,6.07,6.07,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Generic-Benchmark
Moist tropical evergreen forest,5.6,5.6,5.6,5.6,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Generic-Benchmark
Tropical moist forest,5.41,5.41,5.41,5.41,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Generic-Benchmark
Calamus spp.,5.4,5.4,5.4,5.4,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Aspidosperma spp. (198 species in 4 ha),5.2,5.2,5.2,5.2,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Natural tropical cloud forest,5.19,4.96,4.52,6.09,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Generic-Benchmark
Micranda sprucei (total 59 species),5.1,5.1,4.4,5.8,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Pinus spp.,4.87,4.87,4.87,4.87,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
1176 tree species,4.7,4.7,4.7,4.7,1,ORNL,ORNL Global LAI Woody Plants,,False,False,False,Generic-Benchmark
Pinus (heath),4.7,4.7,4.7,4.7,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Riparian forests,4.51,4.51,4.51,4.51,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Cupressus spp.,4.49,4.49,4.49,4.49,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Alder,4.35,4.35,4.26,4.44,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Maple,3.935,3.935,3.5,4.37,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Deciduous northern temperate tree species,3.82,3.82,3.82,3.82,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
57 species mix,3.6,3.6,3.6,3.6,1,ORNL,ORNL Global LAI Woody Plants,,False,False,False,Generic-Benchmark
Shurb,3.58,3.58,3.58,3.58,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Eucalyptus spp.,3.005,3.005,2.0,4.01,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Generic-Benchmark
Betula spp.,2.817,1.6,1.16,5.69,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Savanna trees species,2.805,2.805,2.76,2.85,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Savanna trees and shrubs species,2.32,2.32,2.32,2.32,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Evergreen forest,2.1,2.1,2.1,2.1,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Dry sclerophyll forest species,1.48,1.48,1.48,1.48,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Salix spp.,1.063,0.99,0.81,1.39,6,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Larix spp.,0.868,0.47,0.23,2.68,10,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Not described,0.685,0.64,0.13,1.67,22,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
Ericaceous vegetation,0.11,0.11,0.11,0.11,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Generic-Benchmark
"Pseudotsuga menziesii, Tsuga heterophylla, Abies amabilis",22.0,22.0,22.0,22.0,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Multi-Species
"Pseudotsuga menziesii, Abies grandis",18.0,18.0,18.0,18.0,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Multi-Species
"Abies magnifica, Abies concolor",16.015,16.015,15.58,16.45,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Multi-Species
"Abies concolor, Pseudotsuga menziesii",15.5,15.5,15.5,15.5,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Multi-Species
"Padburggea pubescens, Eugenia clarkeana",12.3,12.3,12.3,12.3,4,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Multi-Species
"Dipterocarpus alatus, Mangifera caloneura, Gymnosporia spp.",12.1,12.1,12.1,12.1,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,True,True,Multi-Species
"Abies grandis, Thuja plicata, Pseudotsuga menziesii",11.68,11.68,11.68,11.68,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Multi-Species
"Tsuga heterophylla, Pseudotusga menziesii",11.58,11.58,11.58,11.58,2,"ORNL, TRY",ORNL Global LAI Woody Plants | TRY Database (summary),,False,False,False,Multi-Species
